mass_bin,stars_in_bin,median_mass,iron_split,low_iron_mean_planets,high_iron_mean_planets,difference_high_minus_low
"(0.0888, 0.689]",515,0.535,-0.059,1.6447876447876448,1.41015625,-0.23463139478764483
"(0.689, 0.824]",516,0.7775000000000001,-0.02,1.4496402877697843,1.3907563025210083,-0.058883985248775916
"(0.824, 0.904]",514,0.868,-0.0115,1.4007782101167314,1.5447470817120623,0.1439688715953309
"(0.904, 0.97]",555,0.94,0.01,1.2542372881355932,1.4423076923076923,0.18807040417209908
"(0.97, 1.037]",477,1.008,0.04,1.2790697674418605,1.4885844748858448,0.20951470744398426
"(1.037, 1.12]",530,1.078,0.049,1.2744360902255638,1.428030303030303,0.15359421280473917
"(1.12, 1.273]",497,1.19,0.07,1.28,1.3157894736842106,0.03578947368421059
"(1.273, 10.94]",515,1.45,0.07,1.1755725190839694,1.1462450592885376,-0.02932745979543183
